Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Ki-Jana Hoever,22,DF,Auxerre,30,2124,1,2,0.5,2.7,10,5
Nicolas Höfler,34,MF,Freiburg,20,794,0,0,0.2,0.1,4,0
Jonas Hofmann,32,"MF,DF",Leverkusen,11,356,2,1,1,0.4,9,5
Philipp Hofmann,31,FW,Bochum,32,2277,3,3,5.5,3.3,54,19
Lucas Höler,30,"FW,MF",Freiburg,31,1867,6,4,7.7,2.9,34,17
Mason Holgate,27,"FW,DF",Everton,1,6,0,0,0,0,0,0
Benedict Hollerbach,23,"FW,MF",Union Berlin,34,2540,9,1,7,1.6,76,24
Emil Holm,24,DF,Bologna,21,1137,1,1,0.6,0.7,10,3
Lewis Holtby,33,MF,Holstein Kiel,25,1238,0,1,0.5,1.5,7,0
Gerrit Holtmann,29,"DF,FW",Bochum,23,1136,2,1,2,2.9,31,8
Franck Honorat,27,FW,Gladbach,19,1439,4,7,4.5,5.3,31,9
Mathias Honsak,27,"FW,DF",Heidenheim,22,1181,5,1,3.3,1.6,29,10
Dinko Horkaš,25,GK,Las Palmas,13,1085,0,0,0,0,0,0
Timo Horn,31,GK,Bochum,13,1170,0,0,0,0,0,0
Cédric Hountondji,30,DF,Angers,3,270,0,0,0,0,0,0
Ilyes Housni,19,"FW,MF",Le Havre,12,230,0,0,0.2,0.2,5,0
Harry Howell,15,FW,Brighton,1,7,0,0,0,0,0,0
Lukáš Hrádecký,34,GK,Leverkusen,29,2610,0,0,0,0,0,0
Robin Hranáč,24,DF,Hoffenheim,4,219,0,0,0,0,0,0
Callum Hudson-Odoi,23,"FW,MF",Nott'ham Forest,31,2194,5,2,2.5,2.7,37,17
Will Hughes,29,MF,Crystal Palace,33,2108,0,3,1.1,3.1,22,1
Dean Huijsen,19,DF,Bournemouth,32,2427,3,2,1.9,2,18,3
Mats Hummels,35,DF,Roma,14,915,0,0,0.5,0.1,8,1
Omari Hutchinson,20,"MF,FW",Ipswich Town,31,2583,3,2,2.9,3.5,45,18
Elseid Hysaj,30,DF,Lazio,11,424,0,3,0.2,1.6,2,0
Hong Hyunseok,25,MF,Mainz 05,23,530,0,1,0.5,1.5,5,2
Pierre Højbjerg,28,MF,Marseille,30,2664,2,4,3.3,3.9,33,8
Oscar Højlund,19,MF,Eint Frankfurt,20,722,1,0,1,1.1,6,2
Rasmus Højlund,21,FW,Manchester Utd,32,2004,4,0,5.3,1.8,32,13
Pablo Ibáñez,25,MF,Osasuna,28,1294,1,1,1.6,1.6,20,5
Hafiz Ibrahim,18,FW,Reims,11,391,0,1,0.5,0.6,7,0
Arijon Ibrahimović,18,MF,Lazio,1,8,0,0,0.1,0,2,0
Arijon Ibrahimović,18,FW,Bayern Munich,1,1,0,0,0,0,0,0
Stanis Idumbo,19,"FW,MF",Sevilla,14,284,1,1,0.6,0.7,4,2
Jay Idzes,24,DF,Venezia,35,3127,1,0,1.8,0.7,15,3
Iglesias,26,DF,Getafe,37,2888,0,1,1.6,2.2,21,3
Borja Iglesias,31,FW,Celta Vigo,37,1952,11,3,9.3,3.2,46,28
Igor,26,DF,Brighton,13,961,0,0,0,0.2,1,0
Kelechi Iheanacho,27,FW,Sevilla,9,400,0,0,1.5,0.3,9,2
Jonathan Ikone,26,FW,Como,13,540,2,0,1.8,0.2,16,5
Jonathan Ikone,26,"FW,MF",Fiorentina,14,334,0,0,0.8,0.1,9,5
George Ilenikhena,17,FW,Monaco,23,717,3,2,5.1,1.4,21,9
Andrej Ilic,24,FW,Union Berlin,16,937,7,0,4.9,0.3,27,11
Ivan Ilić,23,MF,Torino,19,920,1,0,0.9,1.1,11,4
Rareş Ilie,21,MF,Nice,2,13,0,0,0,0.4,1,0
Samuel Iling-Junior,20,"FW,MF",Bologna,7,118,1,0,0.1,0.1,4,1
Danny Ings,32,"FW,MF",West Ham,15,284,1,2,2.3,1.3,14,5
Alessio Iovine,33,"DF,FW",Como,10,387,0,0,0,0.2,1,0
Tim Iroegbunam,21,MF,Everton,18,574,0,1,0.2,0.2,5,0
Jackson Irvine,31,MF,St. Pauli,29,2610,0,6,3.2,3.9,41,12
Andy Irving,24,MF,West Ham,10,166,0,0,0.1,0.2,4,2
Alexander Isak,24,FW,Newcastle Utd,34,2756,23,6,20.3,4.3,95,41
Gustav Isaksen,23,FW,Lazio,37,2210,4,2,5.2,2.1,54,24
Isco,32,MF,Betis,22,1547,9,8,8.6,4.4,38,9
Ismaily,34,DF,Lille,16,904,0,1,0.7,1,10,4
Ardian Ismajli,27,DF,Empoli,29,2508,0,0,0.3,0,5,0
Yanis Issoufou,17,"MF,FW",Montpellier,4,77,0,0,0.1,0,2,0
Ko Itakura,27,DF,Gladbach,31,2790,3,0,1.6,0.8,21,7
Hiroki Ito,25,DF,Bayern Munich,6,250,1,0,0.4,0.4,1,1
Junya Ito,31,"FW,MF",Reims,33,2690,4,3,4.6,7.1,31,11
Diego Iturralde,21,FW,Sevilla,1,37,0,0,0.1,0,1,0
Marko Ivezić,22,DF,Holstein Kiel,23,1657,0,0,0.6,0.2,7,0
Alex Iwobi,28,"FW,MF",Fulham,38,2981,9,6,4.7,7,68,29
Armando Izzo,32,DF,Monza,30,2435,1,1,0.4,0.8,6,2
Fellipe Jack,18,DF,Como,7,171,0,0,0,0.1,0,0
Nicolas Jackson,23,FW,Chelsea,30,2220,10,5,12.3,4.3,76,34
Jérémy Jacquet,19,DF,Rennes,11,927,0,1,0.8,0.8,8,3
Lee Jae-sung,31,MF,Mainz 05,33,2650,7,6,5.3,5,40,15
Ivan Jaime Pajuelo,23,MF,Valencia,9,297,0,0,0.6,0.3,8,3
Kristijan Jakić,27,MF,Augsburg,31,2306,0,1,0.8,1.2,18,4
Karl Jakob Hein,22,GK,Valladolid,31,2790,0,0,0,0,0,0
Ismail Jakobs,24,DF,Monaco,2,180,0,0,0,0.2,0,0
Jordan James,20,MF,Rennes,23,1178,0,1,0.9,1.9,17,3
Reece James,24,"DF,MF",Chelsea,19,1063,1,1,0.4,0.7,11,3
Vitaly Janelt,26,MF,Brentford,32,2254,1,3,0.8,2.2,14,4
Adnan Januzaj,29,"MF,FW",Las Palmas,18,598,2,1,0.8,1.1,16,5
Luca Jaquez,21,DF,Stuttgart,5,253,0,0,0.2,0,1,0
Vitezslav Jaros,23,GK,Liverpool,1,12,0,0,0,0,0,0
Ali Jasim,20,"FW,DF",Como,2,10,0,0,0,0,0,0
Mikel Jauregizar,20,MF,Athletic Club,34,2244,2,1,1.1,1.4,21,8
Dominik Javorček,21,"DF,MF",Holstein Kiel,13,386,0,2,0,1,1,0
Gaby Jean,24,DF,Lecce,19,1388,0,0,0.1,0.1,1,1
Daniel Jebbison,20,FW,Bournemouth,16,119,1,0,1,0.2,5,2
Finn Jeltsch,18,DF,Stuttgart,12,780,0,0,0.1,0.1,2,0
Malcolm Jeng,19,DF,Reims,3,107,0,0,0,0,0,0
Fredrik Jensen,26,MF,Augsburg,20,763,0,0,0.7,0.7,11,0
Mathias Jensen,28,MF,Brentford,24,862,0,2,0.2,1.7,6,1
Moritz Jenz,25,DF,Mainz 05,19,1600,0,0,1.6,0.3,10,4
Gabriel Jesus,27,FW,Arsenal,17,608,3,0,3,0.7,20,7
Juan Jesus,33,DF,Napoli,15,1074,0,1,0.3,0,3,0
Alejandro Jiménez,19,"DF,FW",Milan,22,1266,0,1,0.8,1.3,15,5
Raúl Jiménez,33,FW,Fulham,38,2494,12,3,12,3.3,93,30
Kim Jisoo,19,DF,Brentford,3,30,0,0,0,0,0,0
João Pedro,22,"FW,MF",Brighton,27,1948,10,6,8.9,5,42,15
John Joe,20,"MF,FW",Getafe,4,48,0,0,0.1,0,2,0
John Joe,20,MF,Reims,13,545,0,0,0.2,0,8,1
Joelinton,27,"MF,FW",Newcastle Utd,29,2393,4,3,3.9,2.5,45,13
Jofre,23,"MF,FW",Espanyol,37,2165,3,3,2.5,2.5,40,10
Þórir Jóhann Helgason,23,MF,Lecce,21,1156,0,4,1.2,1.1,16,5
Carl Johansson,30,DF,Holstein Kiel,10,568,0,0,0,0.4,1,1
Ben Johnson,24,"DF,FW",Ipswich Town,23,1354,1,2,1.1,1.3,7,3
Brennan Johnson,23,FW,Tottenham,33,2177,11,3,10.4,2.3,54,20
Karl-Johan Johnsson,34,GK,Strasbourg,3,270,0,0,0,0,0,0
Sam Johnstone,31,GK,Wolves,7,630,0,0,0,0,0,0
Paul Joly,24,DF,Auxerre,26,1009,0,1,0.6,1.3,10,5
Curtis Jones,23,"MF,DF",Liverpool,33,1712,3,3,4.3,1.1,34,13
Frenkie de Jong,27,MF,Barcelona,26,1143,2,2,0.7,2,5,3
Joan Jordán,30,MF,Alavés,25,1414,5,2,4.8,2.3,13,4
Jorginho,32,MF,Arsenal,15,704,0,0,0.1,0.4,2,0
Jesse Joronen,31,GK,Venezia,8,703,0,0,0,0,0,0
Jota,25,"FW,MF",Rennes,9,334,1,0,1.3,0.3,4,2
Diogo Jota,27,FW,Liverpool,26,1196,6,3,7.9,1.8,51,13
Antoine Joujou,21,"MF,FW",Le Havre,26,943,0,2,0.6,3,11,2
Luka Jović,26,"FW,MF",Milan,15,557,2,0,2.4,1.4,11,4
Juanmi,31,"FW,MF",Getafe,13,696,0,0,2.9,0.3,13,6
Juanmi,31,"FW,MF",Betis,11,244,0,0,0.7,0.4,6,1
Juanpe,33,DF,Girona,12,727,0,0,0.1,0.2,2,0
Jubal,30,DF,Auxerre,30,2640,6,0,5.2,0.9,26,7
Anthony Jung,32,DF,Werder Bremen,28,1898,0,0,0,0.1,1,0
Luiz Lúcio Reis Júnior,23,GK,Villarreal,17,1458,0,0,0,0,0,0
Hamed Junior Traorè,24,MF,Auxerre,26,2093,10,2,7.9,2.7,68,27
Vinicius Júnior,24,FW,Real Madrid,30,2253,11,8,10.4,8,78,24
Josip Juranović,28,"DF,MF",Union Berlin,17,1159,0,1,0.3,1.8,6,2
David Jurásek,23,DF,Hoffenheim,14,619,0,1,0.1,0.9,5,2
Stanko Jurić,27,MF,Valladolid,26,1729,0,0,0.8,0.5,8,2
James Justin,26,DF,Leicester City,36,2912,2,2,1.5,0.8,25,6
Filip Jørgensen,22,GK,Chelsea,6,540,0,0,0,0,0,0
Mohamed Kaba,22,MF,Lecce,15,452,0,0,0.3,0,4,0
Yusuf Kabadayı,20,"FW,MF",Augsburg,5,71,1,0,0.6,0,4,1
Almugera Kabar,18,DF,Dortmund,5,137,0,0,0,0.5,0,0
Christian Kabasele,33,DF,Udinese,16,1161,2,0,1.5,0.4,15,4
Issa Kaboré,23,"DF,FW",Werder Bremen,9,308,0,0,0.7,0.8,7,0
Yaya Kader Fofana,20,"MF,FW",Reims,12,634,1,1,0.6,1.7,13,4
Pavel Kadeřábek,32,DF,Hoffenheim,24,1576,2,0,0.8,2,14,3
Tino Kadewere,28,"MF,FW",Nantes,12,512,1,2,1.7,1,8,6
Ferdi Kadioglu,24,"DF,MF",Brighton,6,385,1,0,0.4,0.2,4,1
Arnaud Kalimuendo,22,"FW,MF",Rennes,33,2578,17,3,14.9,2,68,29
Pierre Kalulu,24,DF,Juventus,29,2337,1,0,0.7,0.5,7,3
Justin-Noël Kalumba,19,"FW,MF",Angers,2,31,0,0,0,0,1,0
Daichi Kamada,27,MF,Crystal Palace,34,1564,0,0,1.1,1.9,20,4
Waren Kamanzi,23,"DF,MF",Toulouse,24,1022,1,1,1.3,1,7,2
Boubacar Kamara,24,MF,Aston Villa,26,1726,1,0,0.8,0.9,10,3
Glen Kamara,28,MF,Rennes,13,662,0,1,0.2,0.2,1,0
Hassane Kamara,30,DF,Udinese,30,2001,1,4,0.9,2.7,17,3
Noham Kamara,17,DF,Paris S-G,2,76,0,0,0,0,0,0
Willy Kambwala,19,DF,Villarreal,19,1117,0,0,0.3,0.1,4,1
Jakub Kamiński,22,"DF,MF",Wolfsburg,22,1130,0,2,0.9,3.3,15,3
Kevin Kampl,33,MF,RB Leipzig,26,1593,1,0,0.8,1.4,7,2
Nordine Kandil,22,MF,Strasbourg,1,10,0,0,0,0,0,0
Harry Kane,31,FW,Bayern Munich,31,2381,26,9,20.3,5.3,105,45
Lee Kang-in,23,"FW,MF",Paris S-G,30,1663,6,6,3.5,5.6,41,14
Yann Karamoh,26,"MF,FW",Torino,29,1046,0,1,1.2,0.9,25,6
Atakan Karazor,27,MF,Stuttgart,32,2618,2,4,2.3,2.6,14,7
Jesper Karlsson,26,FW,Bologna,7,298,1,0,0.7,0.1,6,2
Jesper Karlsson,26,FW,Lecce,13,495,1,0,1.5,0.6,9,4
Jesper Karlström,29,MF,Udinese,37,3186,0,3,0.7,1.1,13,2
Lior Kasa,18,"MF,FW",Genoa,8,230,0,0,1.1,0.1,5,2
Grigoris Kastanos,26,"MF,FW",Hellas Verona,27,872,1,1,1,1.7,22,5
Mikkel Kaufmann,23,FW,Heidenheim,9,372,0,0,0.5,0.1,3,3
Joachim Kayi Sanda,17,DF,Southampton,2,14,0,0,0,0,0,0
Michael Kayode,20,DF,Brentford,12,528,0,1,0.2,1.2,2,0
Michael Kayode,20,"DF,FW",Fiorentina,5,127,0,0,0.1,0.2,1,0
Moise Kean,24,FW,Fiorentina,31,2615,17,3,19.4,1.9,98,45
Michael Keane,31,DF,Everton,14,1049,3,0,0.6,0.1,10,4
Yassine Kechta,22,"MF,FW",Le Havre,31,2096,2,0,2.5,1.2,29,9
Thilo Kehrer,27,DF,Monaco,27,2383,4,0,1.5,0.3,12,8
Abdoulaye Keita,21,"FW,MF",Getafe,3,95,0,0,0,0,2,0
Mandela Keita,22,MF,Parma,30,1826,0,2,0.1,1,5,4
Yannik Keitel,24,MF,Stuttgart,11,270,0,0,0.5,0,5,2
Andu Kelati,21,"MF,DF",Holstein Kiel,8,288,1,1,0.9,0.8,6,3
Caoimhín Kelleher,25,GK,Liverpool,10,900,0,0,0,0,0,0
Thomas Keller,24,"DF,MF",Heidenheim,6,148,0,0,0,0,1,0
Lloyd Kelly,25,DF,Newcastle Utd,10,303,0,1,0.4,0.5,3,0
Lloyd Kelly,25,DF,Juventus,12,1013,0,0,0.4,0.1,7,1
Aljoscha Kemlein,19,MF,Union Berlin,15,922,1,0,0.9,0.6,11,3
Marc-Oliver Kempf,29,DF,Como,31,2615,0,0,1.6,1.2,20,4
Kenedy,28,"MF,FW",Valladolid,2,9,0,0,0,0,1,0
Luca Kerber,22,"MF,DF",Heidenheim,23,783,2,0,0.6,0.7,7,5
Milos Kerkez,20,DF,Bournemouth,38,3336,2,5,0.6,3.9,19,5
Reda Khadra,23,"MF,FW",Reims,4,78,0,0,0,0,0,0
Bilal El Khannouss,20,"MF,FW",Leicester City,32,2182,2,3,1.3,4.6,30,7
Wahbi Khazri,33,"FW,MF",Montpellier,30,1118,1,1,2.3,2.2,36,6
Rani Khedira,30,MF,Union Berlin,32,2723,1,1,1.4,0.6,14,1
Abdukodir Khusanov,20,DF,Manchester City,6,503,0,0,0,0.1,1,0
Abdukodir Khusanov,20,DF,Lens,13,975,0,0,0.2,0.3,6,4
Kialonda,26,DF,Lecce,24,2144,0,1,1.1,0.4,16,0
Kiké,34,FW,Alavés,35,2542,13,0,9.6,0.9,60,24
Max Kilman,27,DF,West Ham,38,3348,0,1,1.6,1.2,13,2
Joshua Kimmich,29,MF,Bayern Munich,33,2847,3,7,1.8,7.4,34,10
Presnel Kimpembe,28,DF,Paris S-G,2,23,0,0,0,0,0,0
Joshua King,17,MF,Fulham,8,130,0,0,0.3,0.4,3,0
Joshua King,32,"FW,MF",Toulouse,28,1673,6,3,6.6,2,50,20
Tom King,29,GK,Wolves,1,1,0,0,0,0,0,0
Antonín Kinský,21,GK,Tottenham,6,540,0,0,0,0.1,0,0
Cédric Kipré,27,DF,Reims,28,2190,0,1,0.6,1.3,9,1
Jakub Kiwior,24,DF,Arsenal,17,1122,1,0,0.2,0.3,3,1
Tim Kleindienst,28,FW,Gladbach,31,2737,16,7,13.6,6.2,73,36
Lukas Klostermann,28,DF,RB Leipzig,28,1838,1,0,0.3,0.1,4,2
Justin Kluivert,25,MF,Bournemouth,34,2340,12,6,10.3,4.8,57,23
Ansgar Knauff,22,"MF,DF",Eint Frankfurt,30,1597,4,5,4.9,5.2,30,9
Magnus Knudsen,23,MF,Holstein Kiel,31,1850,0,1,0.7,1.3,12,4
Gregor Kobel,26,GK,Dortmund,32,2880,0,0,0,0,0,0
Robin Koch,28,DF,Eint Frankfurt,30,2586,3,0,1.7,0.2,15,6
Hervé Koffi,27,GK,Lens,5,450,0,0,0,0,0,0
Magnus Kofod Andersen,25,MF,Venezia,14,695,1,1,0.3,0.5,8,2
Derrick Köhn,25,"DF,FW",Werder Bremen,27,1343,2,2,0.7,1.6,13,4
Philipp Köhn,26,GK,Monaco,19,1710,0,0,0,0,0,0
Dominik Kohr,30,"DF,MF",Mainz 05,28,2295,2,0,1.6,0.6,13,5
Koka,31,FW,Le Havre,16,851,3,1,4.9,0.6,20,8
Koke,32,MF,Atlético Madrid,32,1926,1,1,1.1,1.4,11,4
Sead Kolašinac,31,DF,Atalanta,23,1903,0,2,0.8,1.8,10,2
Randal Kolo Muani,25,FW,Juventus,16,1160,8,1,4.7,1.6,25,13
Randal Kolo Muani,25,FW,Paris S-G,10,358,2,1,4.7,0.9,15,6
Marco Komenda,27,DF,Holstein Kiel,19,1307,0,0,0.1,0.8,3,0
Mert Kömür,19,MF,Augsburg,20,654,2,1,1.1,1.5,13,7
Ibrahima Konaté,25,DF,Liverpool,31,2560,1,2,1.7,1,19,3
Ismael Konate,18,"FW,MF",Empoli,12,116,0,1,0.2,0,3,2
Geoffrey Kondogbia,31,"DF,MF",Marseille,25,2020,0,0,0.5,0.2,8,1
Abdoul Koné,19,DF,Reims,4,133,0,0,0,0,0,0
Amadou Koné,19,MF,Reims,24,1293,0,0,0.5,0.3,14,4
Ismaël Koné,22,"MF,FW",Marseille,8,360,0,0,0.3,0.4,4,0
Ismaël Koné,22,MF,Rennes,13,469,2,1,0.2,1.3,6,3
Manu Koné,23,MF,Roma,34,2572,2,1,3.4,1.7,34,8
Ezri Konsa,26,DF,Aston Villa,34,2936,2,0,1.3,0.4,11,5
Teun Koopmeiners,26,"MF,FW",Juventus,28,1994,3,3,3.9,2.9,42,10
Kacper Koscierski,17,DF,Bochum,1,7,0,0,0,0,0,0
Odilon Kossounou,23,DF,Atalanta,18,1125,0,0,0.5,0,6,4
Christian Kouamé,26,"FW,MF",Fiorentina,18,622,0,1,1.1,1.5,11,1
Christian Kouamé,26,"FW,MF",Empoli,8,507,1,0,2.7,0.7,16,5
Henri Koudossou,24,DF,Augsburg,21,748,0,0,0.1,0.8,2,0
Konstantinos Koulierakis,20,DF,Wolfsburg,30,2468,0,2,1,1,22,3
Emmanuel Koum Mbondo,18,DF,Marseille,1,12,0,0,0,0,0,0
Jules Koundé,25,DF,Barcelona,32,2605,2,3,1.8,3.9,18,6
Boubakar Kouyaté,27,DF,Montpellier,11,756,0,0,0.5,0,8,0
Mateo Kovačić,30,MF,Manchester City,31,2198,6,2,1.9,3.6,45,12
Viktor Kovalenko,28,MF,Empoli,6,77,0,0,0.1,0,3,1
Matej Kovar,24,GK,Leverkusen,5,450,0,0,0,0,0,0
Mateusz Kowalski,19,MF,Parma,1,56,0,0,0.4,0,1,0
Goduine Koyalipou,24,FW,Lens,15,885,4,0,4.8,0.8,42,14
Caleb Kporha,18,DF,Crystal Palace,2,13,0,0,0,0,0,0
Emil Krafth,29,DF,Newcastle Utd,12,342,0,0,0,0.1,1,0
Alex Král,26,MF,Espanyol,37,2714,0,1,1.5,1.5,21,2
Andrej Kramarić,33,"MF,FW",Hoffenheim,32,2767,11,8,11.8,4.3,66,23
Frans Krätzig,21,"DF,MF",Heidenheim,16,1217,1,2,0.6,1.8,9,3
Frans Krätzig,21,DF,Stuttgart,1,56,0,0,0,0,0,0
Tom Krauß,23,MF,Bochum,14,1077,0,0,0.4,0.7,11,2
Ladislav Krejčí,25,DF,Girona,28,2440,2,0,1.7,0.3,18,5
Rasmus Kristensen,27,DF,Eint Frankfurt,30,2513,5,3,2.5,3.1,24,8
Thomas Kristensen,22,DF,Udinese,24,1754,1,0,0.9,0.3,4,1
Nikola Krstović,24,FW,Lecce,37,3057,11,5,12.1,2.9,134,38
Lukas Kübler,31,DF,Freiburg,28,1842,5,1,2.7,0.8,18,10
Takefusa Kubo,23,"MF,FW",Real Sociedad,36,2372,5,0,3.6,4.5,43,14
Mohammed Kudus,23,"FW,MF",West Ham,32,2590,5,3,6.9,3.1,75,21
Dejan Kulusevski,24,"MF,FW",Tottenham,32,2389,7,4,4.2,6.2,47,17
Sael Kumbedi,19,DF,Lyon,14,951,0,0,0.3,0.3,4,2
Marash Kumbulla,24,DF,Espanyol,35,2972,3,0,1.8,0,16,5
Jonah Kusi-Asare,17,FW,Bayern Munich,1,3,0,0,0,0,1,0
Daler Kuzyaev,31,MF,Le Havre,12,567,1,0,0.2,0.6,4,3
Khvicha Kvaratskhelia,23,"FW,MF",Napoli,17,1178,5,3,4.1,3.7,49,16
Khvicha Kvaratskhelia,23,FW,Paris S-G,14,916,4,3,3.3,4.9,34,15
Moritz-Broni Kwarteng,26,"MF,FW",Bochum,7,172,0,0,0.2,0.2,6,1
Giorgos Kyriakopoulos,28,DF,Monza,34,2845,2,4,0.9,3.3,27,9
Luca de la Torre,26,MF,Celta Vigo,1,4,0,0,0,0,0,0
Rémy Labeau Lascary,21,"FW,MF",Lens,14,637,2,1,2.5,1.1,14,5
Gaëtan Laborde,30,FW,Nice,28,1829,11,4,11.7,3.5,70,20
Nediljko Labrović,24,GK,Augsburg,15,1350,0,0,0,0,0,0
Alexandre Lacazette,33,FW,Lyon,30,2051,15,2,16.3,3.4,53,31
Younes Lachaab,19,"MF,FW",Lille,2,9,0,0,0.1,0,1,0
Maxence Lacroix,24,DF,Crystal Palace,35,3116,1,1,3.4,1,30,5
Alban Lafont,25,GK,Nantes,12,1080,0,0,0,0,0,0
Yoel Lago,20,DF,Celta Vigo,8,583,0,1,0,0.1,0,0
Konrad Laimer,27,DF,Bayern Munich,29,1699,2,2,2.1,2.7,18,6
Stefan Lainer,31,DF,Gladbach,21,757,1,0,0.3,1,4,1
Kenny Lala,32,DF,Brest,30,2686,3,2,3,4.3,9,4
Adam Lallana,36,MF,Southampton,14,361,0,2,0.2,0.9,3,0
Mathis Lambourde,18,"FW,MF",Hellas Verona,7,89,1,0,0.2,0.1,2,1
Mohamed Lamine Bayo,26,FW,Lille,12,309,2,1,2.2,0.5,10,4
Tariq Lamptey,23,DF,Brighton,15,860,2,2,0.4,0.8,6,2
Will Lankshear,19,"FW,MF",Tottenham,3,11,0,0,0,0,0,0
Gianluca Lapadula,34,"FW,MF",Cagliari,12,310,0,0,1.4,0.1,15,3
Cyle Larin,29,FW,Mallorca,32,1764,7,2,6.9,1.4,38,14
Gautier Larsonneur,27,GK,Saint-Étienne,34,3060,0,0,0,0,0,0
Hugo Larsson,20,MF,Eint Frankfurt,33,2393,3,1,3.1,2.1,21,10
Juanmi Latasa,23,FW,Valladolid,28,1398,3,0,4.2,0.9,40,13
Toni Lato,26,DF,Mallorca,14,621,0,0,0,0.4,0,0
Roméo Lavia,20,MF,Chelsea,16,797,0,1,0.3,0.7,2,0
Valentino Lazaro,28,"DF,FW",Torino,33,2307,0,6,1,3.3,16,2
Darko Lazović,33,"DF,MF",Hellas Verona,27,1459,2,3,2.5,3.4,19,3
Manuel Lazzari,30,DF,Lazio,25,1406,0,1,0.1,1.3,6,2
Julien Le Cardinal,26,DF,Brest,16,1378,0,1,0.4,0.3,10,3
Jérémy Le Douaron,26,FW,Brest,2,102,0,0,0.2,0,2,1
Enzo Le Fée,24,MF,Roma,6,318,0,0,0.2,0.1,4,2
Robin Le Normand,27,DF,Atlético Madrid,27,2151,1,0,1.5,0.5,11,3
Nicola Leali,31,GK,Genoa,29,2610,0,0,0,0,0,0
Rafael Leão,25,FW,Milan,34,2323,8,8,7.6,8.4,66,29
Benjamin Lecomte,33,GK,Montpellier,30,2700,0,0,0,0.1,0,0
Pierre Lees-Melou,31,MF,Brest,20,1526,2,2,1.3,2.8,22,8
Jordan Lefort,30,DF,Angers,34,3060,0,1,0.6,1.1,9,1
Diogo Leite,25,DF,Union Berlin,30,2546,1,2,1.4,1,18,8
Maxim Leitsch,26,DF,Mainz 05,14,674,1,0,1.2,0.2,6,1
Florian Lejeune,33,DF,Rayo Vallecano,37,3325,2,3,3.6,1.9,58,17
Stefan Lekovic,20,DF,Monza,7,367,0,0,0.1,0,3,0
Iñigo Lekue,31,DF,Athletic Club,16,773,0,0,0.2,0.5,2,0
Nunzio Lella,24,MF,Venezia,1,5,0,0,0,0,0,0
Thomas Lemar,28,MF,Atlético Madrid,5,85,0,0,0.3,0.2,2,1
Félix Lemaréchal,20,"MF,FW",Strasbourg,27,1779,4,3,3.5,2.9,25,9
Mario Lemina,30,"MF,DF",Wolves,17,1364,1,3,1.4,1.1,18,5
Clément Lenglet,29,DF,Atlético Madrid,23,1972,2,1,2.4,1.1,10,4
Bernd Leno,32,GK,Fulham,38,3420,0,1,0,0.1,0,0
Donovan Léon,31,GK,Auxerre,32,2880,0,2,0,0.4,0,0
Giovanni Leoni,17,DF,Parma,17,1199,1,0,0.1,0,2,1
Esteban Lepaul,24,FW,Angers,28,1629,9,0,5.1,0.8,41,17
Johann Lepenant,21,MF,Nantes,29,2048,2,1,1.4,0.9,20,5
Jefferson Lerma,29,"MF,DF",Crystal Palace,33,2274,0,1,1.1,1.6,26,8
Louis Leroux,18,"MF,DF",Nantes,16,816,2,1,1.5,1.3,9,5
Robert Lewandowski,35,FW,Barcelona,34,2667,27,2,27.1,2.3,111,45
Jamie Leweling,23,"MF,FW",Stuttgart,27,1663,2,2,1.6,3.8,29,16
Rico Lewis,19,"DF,MF",Manchester City,28,1893,1,2,1.4,0.3,10,2
Keane Lewis-Potter,23,"DF,FW",Brentford,38,3093,1,3,3.1,3.2,28,14
Myles Lewis-Skelly,17,DF,Arsenal,23,1369,1,0,0.2,0.4,3,1
Ben Lhassine Kone,24,MF,Como,4,51,0,0,0,0,1,0
Mattia Liberali,17,MF,Milan,1,61,0,0,0.1,0,2,0
Philipp Lienhart,28,DF,Freiburg,32,2770,1,0,0.5,0.8,8,1
Matthijs de Ligt,24,DF,Manchester Utd,29,2123,2,0,2.5,0.3,18,9
Pedro Lima,18,DF,Wolves,3,70,0,0,0.1,0.1,1,1
Victor Lindelöf,30,DF,Manchester Utd,16,704,0,0,0,0.1,0,0
Jesper Lindstrøm,24,FW,Everton,25,1239,0,1,2.1,2,28,10
Karol Linetty,29,MF,Torino,28,1540,1,0,1.1,0.9,17,4
Samuel Lino,24,"MF,DF",Atlético Madrid,31,1552,3,4,6,2.9,45,18
Pol Lirola,26,DF,Marseille,19,680,1,2,0.6,0.7,6,1
Dailon Livramento,23,"FW,MF",Hellas Verona,29,940,1,1,1.8,0.9,13,4
Valentino Livramento,21,DF,Newcastle Utd,37,2840,0,1,0.3,2.6,6,2
Marin Ljubicic,22,"FW,MF",Union Berlin,13,281,1,1,0.4,0.6,2,1
Javier Llabrés,21,FW,Mallorca,1,57,0,0,0,0.1,1,0
Diego Llorente,30,DF,Betis,30,2519,2,0,1.5,0.3,11,4
Marcos Llorente,29,"DF,MF",Atlético Madrid,33,2513,2,4,0.8,4.3,16,5
Gautier Lloris,29,DF,Le Havre,31,2768,2,1,1.2,0.9,11,2
Giovani Lo Celso,28,"MF,FW",Betis,25,1457,8,3,4.8,4.9,31,16
Stanislav Lobotka,29,MF,Napoli,32,2636,0,1,0.3,1.2,7,0
Manuel Locatelli,26,MF,Juventus,36,2822,2,2,1.8,2.5,24,7
