Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Woyo Coulibaly,25,DF,Parma,14,1084,0,1,0.1,0.9,3,0
Marius Courcoul,17,"MF,DF",Angers,8,309,0,0,0.1,0,3,1
Thibaut Courtois,32,GK,Real Madrid,30,2700,0,0,0,0.1,0,0
Yan Couto,22,"DF,FW",Dortmund,21,895,0,0,0.3,0.9,6,2
Nicolas Cozza,25,"DF,MF",Nantes,27,2051,1,0,1.4,1.4,17,6
Aaron Cresswell,34,DF,West Ham,18,824,0,0,0.2,1.3,5,0
Charlie Cresswell,21,DF,Toulouse,31,2592,3,1,3.3,1.7,32,13
Bryan Cristante,29,MF,Roma,30,2045,4,2,2.1,1.4,30,7
Domen Črnigoj,28,MF,Venezia,8,136,0,0,0.1,0,1,0
Juan Cruz Armada,32,DF,Osasuna,25,1492,0,0,0.1,0,4,0
Juan Cruz,24,"FW,MF",Leganés,34,2257,5,4,2.7,4.1,33,14
Juan Cuadrado,36,"DF,MF",Atalanta,23,832,0,2,0.9,2,16,4
Pau Cubarsí,17,DF,Barcelona,35,2618,0,3,0.8,1.6,8,0
Cucho,25,FW,Betis,15,1139,5,1,3.8,1.5,43,11
Marc Cucurella,26,DF,Chelsea,36,2988,5,1,2.8,2.1,24,11
Jorge Cuenca,24,DF,Fulham,8,351,0,0,0,0,1,0
Matheus Cunha,25,"MF,FW",Wolves,33,2597,15,6,8.6,7.7,110,44
Patrick Cutrone,26,FW,Como,33,2047,7,4,7.1,2.1,69,26
Tomáš Čvančara,23,FW,Gladbach,28,831,2,0,3.8,0.9,24,9
Wylan Cyprien,29,MF,Parma,2,28,0,0,0.2,0,1,0
Danilo D'Ambrosio,35,DF,Monza,20,1095,0,1,0.5,0.4,9,4
Lucas Da Cunha,23,MF,Como,36,2613,3,2,2,3.8,37,14
Samuel Dahl,24,"DF,MF",Roma,2,43,0,0,0,0,0,0
Finn Dahmen,26,GK,Augsburg,19,1710,0,0,0,0,0,0
Thomas Dähne,30,GK,Holstein Kiel,9,810,0,0,0,0,0,0
Mahmoud Dahoud,28,MF,Eint Frankfurt,9,364,1,1,0.5,0.7,7,2
Patson Daka,25,"FW,MF",Leicester City,23,736,1,0,1.3,0.1,15,4
